rank,layer_a,layer_b,gap,mean_kl,max_kl,median_kl,p95_kl
223,2,18,16,3.195339,9.223980,2.038188,7.015370
224,1,17,16,3.320472,12.638996,1.800722,9.795525
225,13,23,10,3.380723,8.621503,3.088981,8.137620
226,1,13,12,3.441280,9.353736,2.854945,6.539971
227,2,19,17,3.574972,9.472354,2.750343,8.951420
228,1,15,14,3.606052,13.695067,3.014809,6.628306
229,2,20,18,3.611681,11.525824,2.363607,9.875203
230,2,22,20,3.787450,13.884390,2.118144,10.452787
231,3,23,20,3.862768,12.123220,2.801680,10.454634
232,1,18,17,3.941709,10.981778,2.834274,9.988797
233,2,23,21,3.944889,12.354103,2.909033,10.716580
234,1,23,22,3.983739,11.279899,2.629848,11.086922
235,11,23,12,4.099338,9.804120,3.427097,9.397159
236,1,20,19,4.099775,12.483584,2.447696,12.304386
237,4,22,18,4.170515,11.660385,2.801452,9.851709
238,2,21,19,4.172320,13.545962,2.582815,13.278384
239,3,22,19,4.196046,10.386554,2.708464,9.812235
240,10,23,13,4.294771,10.879921,3.839069,10.229994
241,12,23,11,4.311631,10.660940,3.959514,7.592495
242,1,19,18,4.355826,12.595390,3.046062,12.246587
243,6,23,17,4.382559,11.217233,4.007081,9.002646
244,5,22,17,4.396374,9.844735,3.538160,7.869883
245,9,23,14,4.453041,11.919116,3.432914,11.418173
246,8,23,15,4.548340,12.574728,3.865454,12.412439
247,1,22,21,4.603968,14.466553,3.129537,12.643716
248,3,21,18,4.719245,10.407418,4.132366,9.587828
249,7,23,16,4.726871,10.420487,4.423205,9.815792
250,5,23,18,4.778972,9.676987,4.394411,8.809018
251,1,16,15,4.862180,14.585465,3.897893,11.571871
252,0,22,22,4.949893,11.644386,3.981400,11.007870
253,1,21,20,5.053242,15.112026,3.666558,12.686955
254,0,23,23,5.442207,14.469078,4.001730,13.471066
255,0,4,4,5.455221,18.533084,3.067877,18.311138
256,0,15,15,5.579895,19.169158,3.808815,13.704922
257,0,14,14,5.675988,18.066865,3.994515,15.256143
258,4,23,19,5.755664,11.654847,5.704935,10.573156
259,0,20,20,5.771157,14.718923,5.000636,12.400207
260,0,21,21,5.941389,14.301155,5.309756,12.723223
261,0,1,1,5.941924,12.927239,5.325916,11.174303
262,0,5,5,6.016500,21.857339,3.741561,17.086141
263,0,12,12,6.030988,19.211807,3.636603,16.697421
264,0,2,2,6.770538,21.016072,4.687306,20.326990
265,0,7,7,6.771209,23.128666,4.064512,19.097886
266,0,6,6,6.790845,27.747665,5.432180,14.683623
267,0,17,17,7.075829,15.532029,6.855303,14.113914
268,0,10,10,7.399783,26.018575,4.894570,23.446658
269,0,19,19,7.842897,16.556473,6.421219,15.817424
270,0,16,16,7.860924,21.384633,6.547797,19.805303
271,0,13,13,8.027153,20.573581,6.564924,18.442393
272,0,11,11,8.142329,23.363402,5.992979,17.906264
273,0,8,8,8.223859,32.238841,3.740249,24.565207
274,0,9,9,8.257648,24.522464,6.246759,22.707109
275,0,3,3,8.968984,20.686859,7.464407,19.692849
276,0,18,18,9.401995,16.602141,9.117675,13.810756
